Numero;Titulo;Precio;Rating;Precio_GBP;Rating_Numerico
1;A Light in the Attic;£51.77;star-rating Three;51.77;3
2;Tipping the Velvet;£53.74;star-rating One;53.74;1
3;Soumission;£50.10;star-rating One;50.1;1
4;Sharp Objects;£47.82;star-rating Four;47.82;4
5;Sapiens: A Brief History of Humankind;£54.23;star-rating Five;54.23;5
6;The Requiem Red;£22.65;star-rating One;22.65;1
7;The Dirty Little Secrets of Getting Your Dream Job;£33.34;star-rating Four;33.34;4
8;The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull;£17.93;star-rating Three;17.93;3
9;The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;£22.60;star-rating Four;22.6;4
10;The Black Maria;£52.15;star-rating One;52.15;1
11;Starving Hearts (Triangular Trade Trilogy, #1);£13.99;star-rating Two;13.99;2
12;Shakespeare's Sonnets;£20.66;star-rating Four;20.66;4
13;Set Me Free;£17.46;star-rating Five;17.46;5
14;Scott Pilgrim's Precious Little Life (Scott Pilgrim #1);£52.29;star-rating Five;52.29;5
15;Rip it Up and Start Again;£35.02;star-rating Five;35.02;5
16;Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991;£57.25;star-rating Three;57.25;3
17;Olio;£23.88;star-rating One;23.88;1
18;Mesaerion: The Best Science Fiction Stories 1800-1849;£37.59;star-rating One;37.59;1
19;Libertarianism for Beginners;£51.33;star-rating Two;51.33;2
20;It's Only the Himalayas;£45.17;star-rating Two;45.17;2
